啊	a	59623
阿	a	9636
吖	a	1778
呵	a	111
嗄	a	111
腌	a	111
錒	a	111
锕	a	111
𠼞	a	111
𥥩	a	111
𨉚	a	111
啊啊	a a	304
啊啊啊	a a a	109
啊啊啊啊	a a a a	109
阿爸	a ba	69
阿巴阿巴	a ba a ba	111
阿巴斯	a ba si	102
阿鼻	a bi	111
阿扁	a bian	106
阿伯	a bo	103
阿波罗	a bo luo	285
啊不	a bu	43
啊不知道	a bu zhi dao	43
阿閦佛	a chu fo	111
阿呆	a dai	338
阿道夫	a dao fu	58
阿德里亚诺	a de li ya nuo	70
阿迪	a di	111
阿迪达斯	a di da si	210
阿斗	a dou	70
阿杜	a du	165
阿朵	a duo	87
阿尔	a er	1031
阿尔巴尼亚	a er ba ni ya	97
阿尔巴尼亚共和国	a er ba ni ya gong he guo	111
阿尔卑斯	a er bei si	153
阿尔卑斯山	a er bei si shan	104
阿尔法	a er fa	234
阿尔及利亚	a er ji li ya	190
阿尔及利亚民主人民共和国	a er ji li ya min zhu ren min gong he guo	111
阿尔卡特	a er ka te	366
阿尔萨斯	a er sa si	57
阿尔山	a er shan	86
阿尔斯通	a er si tong	171
阿尔泰	a er tai	53
阿尔泰山	a er tai shan	39
阿凡提	a fan ti	322
阿房宫	a fang gong	111
阿房宫赋	a fang gong fu	111
阿飞	a fei	222
阿福	a fu	146
阿富汗	a fu han	602
啊服啦	a fu la	111
阿甘正传	a gan zheng zhuan	49
阿哥	a ge	311
阿根廷	a gen ting	1172
阿根廷队	a gen ting dui	77
阿根廷共和国	a gen ting gong he guo	111
阿根廷人	a gen ting ren	51
阿公	a gong	48
啊哈	a ha	130
阿訇	a hong	93
阿虎	a hu	62
阿华	a hua	118
阿花	a hua	51
阿吉	a ji	125
阿基米德	a ji mi de	64
阿基诺	a ji nuo	88
阿贾克斯	a jia ke si	52
阿加西	a jia xi	63
阿娇	a jiao	214
阿姐	a jie	51
阿九	a jiu	64
阿喀琉斯	a ka liu si	221
阿喀琉斯之踵	a ka liu si zhi zhong	110
阿康	a kang	45
阿克苏	a ke su	185
阿克苏地区	a ke su di qu	50
阿克苏市	a ke su shi	55
啊啦	a la	62
阿拉伯	a la bo	863
阿拉伯国家	a la bo guo jia	161
阿拉伯联合酋长国	a la bo lian he qiu zhang guo	51
阿拉伯人	a la bo ren	148
阿拉伯数字	a la bo shu zi	244
阿拉伯文	a la bo wen	50
阿拉伯叙利亚共和国	a la bo xu li ya gong he guo	111
阿拉伯语	a la bo yu	185
阿拉丁	a la ding	115
阿拉法特	a la fa te	114
阿拉贡	a la gong	38
阿拉善	a la shan	70
阿拉山口	a la shan kou	58
阿拉善盟	a la shan meng	56
阿拉斯加	a la si jia	214
阿勒泰	a le tai	108
阿里	a li	852
阿丽	a li	139
阿里巴巴	a li ba ba	1304
阿里地区	a li di qu	46
阿里山	a li shan	82
阿莲	a lian	53
阿联酋	a lian qiu	343
阿亮	a liang	56
阿龙	a long	112
阿隆索	a long suo	157
阿妈	a ma	109
阿玛	a ma	93
阿玛尼	a ma ni	97
阿曼	a man	292
阿曼苏丹国	a man su dan guo	111
阿妹	a mei	120
阿门	a men	109
阿盟	a meng	43
阿米	a mi	178
阿米巴	a mi ba	60
阿弥陀佛	a mi tuo fo	111
阿明	a ming	110
阿莫西林	a mo xi lin	82
阿木	a mu	101
阿姆斯特丹	a mu si te dan	249
啊你	a ni	111
阿牛	a niu	229
阿诺	a nuo	205
阿诺德	a nuo de	61
阿房宫	a pang gong	111
阿房宫赋	a pang gong fu	111
阿婆	a po	169
阿七	a qi	111
阿奇	a qi	101
阿强	a qiang	148
阿青	a qing	44
阿塞拜疆	a sai bai jiang	97
阿三	a san	102
阿桑	a sang	54
阿森纳	a sen na	513
阿婶	a shen	40
啊什么	a shen me	106
阿诗玛	a shi ma	87
阿是穴	a shi xue	111
阿叔	a shu	40
阿斯顿维拉	a si dun wei la	70
阿司匹林	a si pi lin	219
阿塔	a ta	111
阿特拉斯	a te la si	56
阿嚏	a ti	111
阿童木	a tong mu	67
阿托品	a tuo pin	97
啊喂	a wei	111
阿维菌素	a wei jun su	44
阿翁	a weng	49
啊呜	a wu	111
阿信	a xin	119
阿修罗	a xiu luo	182
啊呀	a ya	118
阿姨	a yi	1591
阿英	a ying	109
啊哟	a yo	73
啊哟	a you	73
阿育王	a yu wang	63
啊这	a zhe	37
啊这儿	a zhe er	37
阿珍	a zhen	86
阿朱	a zhu	135
阿紫	a zi	226
阿祖	a zu	62
爱	ai	61111
艾	ai	2356
哎	ai	1849
唉	ai	1545
哀	ai	1392
挨	ai	932
埃	ai	928
矮	ai	908
碍	ai	883
暧	ai	241
癌	ai	170
蔼	ai	156
㑸	ai	111
㕌	ai	111
㗒	ai	111
㗨	ai	111
㘷	ai	111
㝶	ai	111
㢊	ai	111
㤅	ai	111
㱯	ai	111
㿄	ai	111
䀳	ai	111
